39,work_class,education,education_yrs,marital_status,occupation,relationship,ethnicity,gender,capital_gain,capital_lost,hours_week,country,salary
45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States,21416
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,35496
22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,21948
48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,29436
21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,45314
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,22936
31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,98639
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,37849
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,35673
53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,36492
24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,22196
49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,37684
25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,35018
57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,78165
53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,34653
44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,44305
41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,42537
29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,48946
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,49391
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, ?,26105
47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,67728
50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,214850
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,41459
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,150544
46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,31480
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,44171
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,40302
30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,22959
30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,47885
32, ?, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?,30827
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,26886
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,298358
29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,25702
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,48200
28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,24052
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,113128
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,280841
25, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,49683
19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,30635
31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,26106
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,76617
23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,21796
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,29426
27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,49648
40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,43335
67, ?, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States,26422
18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,20688
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,30877
18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,20520
52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,25613
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,34830
59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,28030
44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,289026
53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,49955
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,237299
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,28137
30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,18153
43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,170778
57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,27209
37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,49337
28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,35130
30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35, ?,22796
34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,188059
29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,19698
48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,129484
37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,62590
48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,27587
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,24658
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,91884
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,213445
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,35713
20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,40049
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,47678
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,274820
17, ?, 10th,6, Never-married, ?, Own-child, White, Female,34095,0,32, United-States,18571
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,31293
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,24176
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,18923
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,19273
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,184936
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada,261518
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,44021
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,44230
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,23141
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,27160
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,169062
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,26354
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,25817
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,38147
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,28642
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,40379
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,72644
19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,24115
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,114959
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States,32656
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,59830
35, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,33642
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,34799
28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,37714
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,25910
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States,29017
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,20243
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,22055
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,225700
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,25858
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,29783
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,20445
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,167730
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,34371
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,35850
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,47225
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States,181937
70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,22393
31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,40231
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,27052
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,41598
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States,21821
43, ?, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,27742
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,33001
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,48675
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,41738
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,45183
52, ?, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States,285997
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,48871
23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,44899
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States,19637
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,36117
42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,48249
68, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States,26753
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,28996
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,36571
28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,47514
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,238204
36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,29317
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,30010
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,47067
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,42941
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,19807
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,27830
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,23250
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States,191213
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,41856
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,65360
27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,22862
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,19425
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,35883
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,33590
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,48794
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,275461
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,45468
30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,42454
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,275388
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,177554
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,21100
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,47078
53, ?, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States,49781
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,41848
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States,291260
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,18553
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,19060
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,24251
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,46585
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,49819
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,26357
36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,21852
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States,258140
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,61894
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,36727
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States,22324
19, ?, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40, Italy,26164
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,143074
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States,46853
37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,22249
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,45263
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States,215511
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,27151
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States,256938
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,26314
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,41496
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,238972
35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,28124
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,29949
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,243490
37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,177493
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,26940
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,48710
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,20169
25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,31465
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,19148
64, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States,20955
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,46480
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,27916
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,18473
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,46211
60, ?, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States,41343
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States,47630
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,35683
65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,49421
35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States,29721
41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,28407
25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,18607
33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,27841
28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,174090
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,19969
40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,19074
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran,81557
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,242826
23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,20943
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,140948
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States,18189
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,20337
20, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States,36238
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States,46183
56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, ?,47210
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,79907
32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States,48590
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, United-States,214092
45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, ?,47580
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,198813
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,22507
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States,34336
19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,38748
58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States,30790
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,232391
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,48800
32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States,48759
45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,32904
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,47915
36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,23000
45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,21496
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,28625
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, United-States,32217
26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,18328
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75, Thailand,95579
