39,Real,Predicted,Set,residuos
22,213906,68106.44762582649,Train,145799.5523741735
38,49599,48609.26857171979,Train,989.7314282802108
47,40118,80210.69058957532,Train,-40092.690589575315
37,18473,54636.825735337945,Train,-36163.825735337945
36,279143,86874.3495342247,Train,192268.65046577528
28,25358,74891.74109359152,Train,-49533.741093591525
21,49337,41886.65864350332,Train,7450.341356496683
31,71972,130721.80991257765,Train,-58749.80991257765
33,70748,63020.74102572803,Train,7727.258974271972
28,23905,22121.78986496415,Train,1783.2101350358498
45,18378,69887.75280045989,Train,-51509.752800459886
43,19578,67096.59820606445,Train,-47518.598206064446
35,244694,75182.30273478714,Train,169511.69726521286
36,281653,101297.01488683834,Train,180355.98511316167
32,21891,35774.1665454838,Train,-13883.1665454838
38,137207,124219.84711132222,Train,12987.152888677781
41,47366,100518.16924153504,Train,-53152.16924153504
63,178518,99848.59991826014,Train,78669.40008173986
33,21149,30728.72237894615,Train,-9579.72237894615
37,195665,124992.07677136737,Train,70672.92322863263
32,189402,120860.365621045,Train,68541.634378955
43,289062,119419.48404076046,Train,169642.51595923954
38,35846,31347.68244936547,Train,4498.317550634529
62,46114,119420.82975460181,Train,-73306.82975460181
42,49295,76987.06621159578,Train,-27692.066211595782
46,160767,87796.42082961732,Train,72970.57917038268
43,160008,116846.735364299,Train,43161.264635700994
62,235462,127381.75690259165,Train,108080.24309740835
29,193315,118694.97068906814,Train,74620.02931093186
30,27206,39266.50606024829,Train,-12060.506060248292
27,249697,77517.654354406,Train,172179.345645594
43,38780,135715.6524542118,Train,-96935.65245421181
43,36098,34670.36392535622,Train,1427.6360746437786
21,36297,26138.123860079773,Train,10158.876139920227
33,18600,88575.26647492062,Train,-69975.26647492062
53,133618,102483.82182091768,Train,31134.178179082315
43,25659,64627.80189169536,Train,-38968.80189169536
53,152627,45929.70275086288,Train,106697.29724913712
50,32607,84748.49763564627,Train,-52141.49763564627
47,92058,103316.2118756573,Train,-11258.211875657304
57,18926,42294.03863809428,Train,-23368.03863809428
22,29279,51491.43022215,Train,-22212.430222149997
55,142264,77217.21704056018,Train,65046.78295943982
31,55654,63467.37452482962,Train,-7813.374524829618
41,43351,138463.7493431896,Train,-95112.74934318959
21,28935,17721.230908211564,Train,11213.769091788436
44,133448,118400.97076763783,Train,15047.029232362169
55,34997,47516.580351821336,Train,-12519.580351821336
28,21315,70277.11952896244,Train,-48962.119528962445
57,39874,48991.34078875479,Train,-9117.340788754787
63,29484,82016.56058392214,Train,-52532.56058392214
37,21185,62905.794749688015,Train,-41720.794749688015
25,42456,120325.98920467019,Train,-77869.98920467019
47,171845,122015.29261647965,Train,49829.70738352035
61,39430,51409.078586110954,Train,-11979.078586110954
47,189678,125293.14508287798,Train,64384.85491712202
33,32965,88575.26647492062,Train,-55610.266474920616
33,21316,88575.26647492062,Train,-67259.26647492062
39,104382,133608.07717837484,Train,-29226.077178374835
44,143712,68338.13999648002,Train,75373.86000351998
22,32936,29969.79109122166,Train,2966.208908778339
50,85261,142557.7277717905,Train,-57296.727771790494
20,37138,41303.85668434734,Train,-4165.856684347338
23,22090,85430.4064441582,Train,-63340.4064441582
33,48659,50675.045992838255,Train,-2016.0459928382552
55,252205,131926.12369380225,Train,120278.87630619775
40,67339,126361.89791562766,Train,-59022.89791562766
35,28975,85658.91516411796,Train,-56683.91516411796
56,270351,119724.56395895215,Train,150626.43604104785
22,44841,62567.07701048849,Train,-17726.077010488487
25,35944,64592.95994305005,Train,-28648.959943050053
48,29609,51569.84103749528,Train,-21960.84103749528
43,24598,68368.1946890692,Train,-43770.194689069205
27,45782,48366.838531770285,Train,-2584.838531770285
31,18675,33810.192857630085,Train,-15135.192857630085
55,32388,75609.54265262955,Train,-43221.54265262955
66,49149,99547.20410035674,Train,-50398.20410035674
25,41326,30714.403978982096,Train,10611.596021017904
53,46054,35589.29547369347,Train,10464.70452630653
20,48964,27870.94851650678,Train,21093.05148349322
71,42434,30552.733882455388,Train,11881.266117544612
49,194712,115472.18714951663,Train,79239.81285048337
30,195609,124292.15245677473,Train,71316.84754322527
40,35985,69415.20437887995,Train,-33430.20437887995
24,44577,89745.5412488765,Train,-45168.5412488765
58,100233,140178.47575079574,Train,-39945.47575079574
49,46765,70024.67409301776,Train,-23259.674093017762
38,48843,101150.33334948127,Train,-52307.33334948127
22,36204,77257.40568616061,Train,-41053.40568616061
24,20748,33039.30985990306,Train,-12291.309859903064
52,282955,102635.15392192539,Train,180319.8460780746
59,177242,88551.58352314157,Train,88690.41647685843
49,191995,120860.365621045,Train,71134.634378955
27,34124,53632.43384172494,Train,-19508.43384172494
51,251041,46783.97772193124,Train,204257.02227806876
21,28484,29714.388919483954,Train,-1230.388919483954
21,32213,46264.42099844721,Train,-14051.42099844721
41,21924,26246.18375124577,Train,-4322.183751245771
35,38822,123088.59058803544,Train,-84266.59058803544
46,47933,94910.6169310433,Train,-46977.6169310433
33,63126,123612.5958747741,Train,-60486.595874774095
36,43602,41196.28664796685,Train,2405.713352033148
25,31194,46388.1776806164,Train,-15194.177680616398
27,44409,16307.856110549168,Train,28101.143889450832
19,31191,38031.066676986455,Train,-6840.066676986455
45,35845,85357.84685260733,Train,-49512.84685260733
43,21721,77570.33647375631,Train,-55849.33647375631
20,47288,36213.43217026151,Train,11074.567829738487
64,21219,37981.93765783243,Train,-16762.93765783243
23,28550,99547.20410035674,Train,-70997.20410035674
35,23382,33347.35119209989,Train,-9965.351192099894
31,22539,51190.67599525832,Train,-28651.675995258323
19,29481,33086.02314209466,Train,-3605.0231420946584
52,41145,137880.47908102904,Train,-96735.47908102904
47,40652,62329.814672116365,Train,-21677.814672116365
28,35130,23416.641493498668,Train,11713.358506501332
45,26876,69299.76327230466,Train,-42423.763272304655
58,123022,102232.89564914121,Train,20789.10435085879
58,291260,122847.55969638107,Train,168412.44030361893
42,282480,38838.610349072376,Train,243641.38965092762
71,45829,79061.35963134539,Train,-33232.35963134539
27,67350,88005.80961920536,Train,-20655.809619205364
44,49096,96787.05390559684,Train,-47691.05390559684
31,20789,32044.110488143066,Train,-11255.110488143066
55,21378,68150.92532671892,Train,-46772.92532671892
62,25001,89310.48027873159,Train,-64309.480278731586
18,32836,37328.401948822626,Train,-4492.401948822626
30,48576,66268.39453762709,Train,-17692.394537627086
35,34720,40980.661153377834,Train,-6260.661153377834
61,39776,67576.67974137017,Train,-27800.67974137017
40,80471,94376.24051466846,Train,-13905.240514668461
41,27172,86095.5038889214,Train,-58923.503888921405
31,29201,67365.77757028776,Train,-38164.777570287755
19,44310,19322.657998569608,Train,24987.342001430392
19,23622,38715.77389601576,Train,-15093.773896015759
49,33110,62618.428758831884,Train,-29508.428758831884
36,36005,33428.280062594495,Train,2576.7199374055053
47,38928,80210.69058957532,Train,-41282.690589575315
38,31255,39126.63223953365,Train,-7871.6322395336465
39,47871,25870.19998719827,Train,22000.80001280173
23,26357,36824.050862280616,Train,-10467.050862280616
63,81326,118760.5926772671,Train,-37434.592677267094
39,26150,117838.52138187448,Train,-91688.52138187448
28,248843,120946.53978372997,Train,127896.46021627003
54,38087,31415.952441036192,Train,6671.047558963808
48,48190,70753.22829042378,Train,-22563.22829042378
52,246558,105204.59774857758,Train,141353.4022514224
51,63023,119885.64866094064,Train,-56862.64866094064
30,36191,79461.87580512,Train,-43270.87580512
27,29239,28653.55114343895,Train,585.4488565610518
42,32803,135132.3821920513,Train,-102329.3821920513
30,36858,49310.44574957627,Train,-12452.445749576269
75,43355,42457.342776928475,Train,897.6572230715246
32,32137,26072.2438842395,Train,6064.756115760501
33,20836,68043.68767022755,Train,-47207.68767022755
25,40494,27615.945173581196,Train,12878.054826418804
31,23099,79711.47260317754,Train,-56612.472603177535
47,49457,40827.92230715818,Train,8629.07769284182
34,43364,84055.78591499344,Train,-40691.78591499344
33,46716,44974.17390838662,Train,1741.8260916133804
29,25486,80626.75615874847,Train,-55140.75615874847
19,47203,24270.179375741667,Train,22932.820624258333
35,18693,85658.91516411796,Train,-66965.91516411796
49,45045,62618.428758831884,Train,-17573.428758831884
23,41621,19890.2061601702,Train,21730.7938398298
47,167239,102449.24637509605,Train,64789.753624903955
18,48599,23062.630027547093,Train,25536.369972452907
72,31263,77145.02222468029,Train,-45882.02222468029
27,33612,20514.541842925464,Train,13097.458157074536
28,42122,9612.941028205467,Train,32509.058971794533
42,20995,39446.475861485254,Train,-18451.475861485254
32,19301,85658.91516411796,Train,-66357.91516411796
52,215983,94546.72050784611,Train,121436.27949215389
69,180431,103627.78368863417,Train,76803.21631136583
36,205881,122075.79999115175,Train,83805.20000884825
49,108725,124758.76866650314,Train,-16033.768666503136
31,27818,111797.51355477757,Train,-83979.51355477757
74,29823,68232.37314238645,Train,-38409.37314238645
22,31173,34145.826903578956,Train,-2972.8269035789563
52,25598,43229.313553352746,Train,-17631.313553352746
25,40981,25528.556733148205,Train,15452.443266851795
48,257349,124943.18292558167,Train,132405.81707441833
41,211812,100518.16924153504,Train,111293.83075846496
31,34311,36790.85279036708,Train,-2479.8527903670765
73,39768,86449.41457634218,Train,-46681.414576342184
46,26493,126896.2743320025,Train,-100403.2743320025
40,299737,101684.70976585611,Train,198052.2902341439
29,23311,83407.74247929659,Train,-60096.74247929659
48,18542,100265.9947758101,Train,-81723.9947758101
18,35341,31597.9787995531,Train,3743.0212004468995
32,41956,124758.76866650314,Train,-82802.76866650314
57,37989,78460.88317901673,Train,-40471.88317901673
44,31727,68968.95926965078,Train,-37241.959269650775
48,40519,80112.90627392694,Train,-39593.90627392694
26,21890,83325.83411547582,Train,-61435.83411547582
35,19477,102781.83545928246,Train,-83304.83545928246
34,108695,77477.57653112077,Train,31217.423468879235
50,22340,38787.163054810204,Train,-16447.163054810204
43,36467,43412.539777647624,Train,-6945.539777647624
44,142755,143528.69291296878,Train,-773.6929129687778
59,41872,45013.071868339306,Train,-3141.071868339306
31,47194,114924.13685186832,Train,-67730.13685186832
47,189699,82130.76747796108,Train,107568.23252203892
48,45017,119555.00445405327,Train,-74538.00445405327
39,46854,98760.10334642528,Train,-51906.10334642528
42,18657,33716.05271221573,Train,-15059.05271221573
58,47866,87810.23029652757,Train,-39944.230296527574
39,21829,69195.85964957115,Train,-47366.85964957115
46,194566,96830.90771070255,Train,97735.09228929745
62,30160,80943.8058630063,Train,-50783.8058630063
47,36221,56432.080398923914,Train,-20211.080398923914
40,80065,82560.98120430857,Train,-2495.9812043085694
50,125607,104084.28977200975,Train,21522.710227990246
52,43038,81449.70952422917,Train,-38411.70952422917
58,40014,44053.539698659806,Train,-4039.539698659806
52,47409,97685.10933615736,Train,-50276.10933615736
37,209433,85892.22326898217,Train,123540.77673101783
50,25303,137119.16456025178,Train,-111816.16456025178
44,23870,100948.55538119354,Train,-77078.55538119354
31,21594,91796.20370054556,Train,-70202.20370054556
39,28191,86314.85769916,Train,-58123.85769916
40,222623,113213.21359047732,Train,109409.78640952268
30,290978,78614.08957051687,Train,212363.91042948313
41,162188,115908.77587432007,Train,46279.22412567993
23,35319,13133.875255013481,Train,22185.12474498652
50,38351,86291.07927206418,Train,-47940.07927206418
54,234392,40980.661153377834,Train,193411.33884662215
19,32819,44927.81385184293,Train,-12108.813851842933
43,33368,54546.92614611718,Train,-21178.926146117177
40,41594,47284.85361143626,Train,-5690.853611436258
20,18826,36030.289541333186,Train,-17204.289541333186
34,34051,40454.69334845944,Train,-6403.693348459441
18,29689,39405.372268546496,Train,-9716.372268546496
55,68152,90952.7671305793,Train,-22800.767130579305
47,23789,75356.2810255421,Train,-51567.28102554211
53,249174,114380.91804905576,Train,134793.08195094424
45,279532,91713.31842178311,Train,187818.6815782169
69,38258,85049.5659471569,Train,-46791.565947156894
20,40214,34011.55032475503,Train,6202.44967524497
45,46734,45014.301570096024,Train,1719.698429903976
35,19918,39980.8522778601,Train,-20062.852277860096
39,34698,77530.48351926627,Train,-42832.48351926627
20,22760,23684.59450844342,Train,-924.5945084434206
18,47283,35785.82031240473,Train,11497.179687595271
44,141253,120973.71944409929,Train,20279.28055590071
19,26418,31538.221116807712,Train,-5120.221116807712
53,190636,57411.83807889699,Train,133224.16192110302
45,30654,80363.92756466268,Train,-49709.92756466268
30,34970,35307.550335755375,Train,-337.5503357553753
35,37997,60104.389714925375,Train,-22107.389714925375
54,19222,72348.49590418194,Train,-53126.49590418194
39,30680,28175.929258800184,Train,2504.0707411998155
27,30650,38351.470436000214,Train,-7701.470436000214
45,23830,36368.575814544936,Train,-12538.575814544936
53,48389,48261.78236435057,Train,127.21763564943103
24,46581,51799.961147221955,Train,-5218.961147221955
46,44213,75846.1185629662,Train,-31633.118562966207
21,26866,27119.68347269213,Train,-253.68347269212973
41,41186,37038.51347902308,Train,4147.48652097692
32,47658,52810.21450817317,Train,-5152.214508173172
39,256723,112105.81920087506,Train,144617.18079912494
63,35235,32109.389670448938,Train,3125.610329551062
52,128887,103305.44412670645,Train,25581.555873293546
43,49857,65027.31429447356,Train,-15170.31429447356
20,38815,25227.176144861318,Train,13587.823855138682
20,36425,35652.794289365316,Train,772.2057106346838
57,19937,119392.75678521334,Train,-99455.75678521334
33,41622,42897.20358866276,Train,-1275.2035886627564
70,34820,44786.884555906465,Train,-9966.884555906465
23,40199,33105.93669839749,Train,7093.0633016025095
29,34204,28134.81538913404,Train,6069.184610865959
39,179512,117838.52138187448,Train,61673.47861812552
37,244002,70542.6393000434,Train,173459.3606999566
21,42501,37398.1343221635,Train,5102.865677836497
29,37224,85327.81936768236,Train,-48103.81936768236
23,24432,13727.262619736219,Train,10704.737380263781
42,170182,70034.4376149704,Train,100147.5623850296
41,22809,45671.375192171654,Train,-22862.375192171654
44,209878,96046.41859313619,Train,113831.58140686381
36,185522,122075.79999115175,Train,63446.200008848245
58,21030,85890.1534081418,Train,-64860.15340814181
32,43872,79350.17756725344,Train,-35478.17756725344
34,290594,97786.4723124073,Train,192807.5276875927
20,35871,38102.039472188,Train,-2231.039472188
57,128777,115792.2264009263,Train,12984.773599073698
63,225004,93589.79486284198,Train,131414.20513715802
25,32329,14394.969231302188,Train,17934.030768697812
35,197158,117248.37551407272,Train,79909.62448592728
74,41038,76987.06621159578,Train,-35949.06621159578
45,29076,116947.30720256211,Train,-87871.30720256211
25,44526,22894.095096219193,Train,21631.904903780807
25,18901,21744.29461299628,Train,-2843.29461299628
55,170239,117119.73070642113,Train,53119.269293578865
35,159227,124758.76866650314,Train,34468.231333496864
22,43451,21736.758228891653,Train,21714.241771108347
39,34499,77861.33058006827,Train,-43362.33058006827
29,38533,21729.396289870034,Train,16803.603710129966
21,41074,18836.512542334065,Train,22237.487457665935
44,49495,39976.59825152209,Train,9518.40174847791
50,79719,100713.74462467781,Train,-20994.744624677813
34,18583,32803.05787007088,Train,-14220.05787007088
27,24339,31218.99291120495,Train,-6879.99291120495
49,101862,94443.28934401166,Train,7418.71065598834
51,207373,78953.77505474407,Train,128419.22494525593
42,298501,124224.39225012832,Train,174276.60774987168
37,24843,38294.08349433854,Train,-13451.083494338542
40,106374,103703.0770431252,Train,2670.922956874798
24,20539,77247.42570215637,Train,-56708.42570215637
35,23523,54185.33868740824,Train,-30662.338687408243
27,48716,52283.702786176065,Train,-3567.7027861760653
28,26796,35239.79012910896,Train,-8443.790129108958
43,25507,80932.06866502448,Train,-55425.068665024475
32,43075,27387.427237086937,Train,15687.572762913063
55,180165,118077.4114558264,Train,62087.5885441736
27,27207,25594.637068193377,Train,1612.3629318066232
22,23432,59823.276695468434,Train,-36391.276695468434
44,19360,59377.19202693019,Train,-40017.19202693019
39,37601,33397.687185693525,Train,4203.312814306475
38,35024,101150.33334948127,Train,-66126.33334948127
38,185671,74761.28014146656,Train,110909.71985853344
31,30572,86289.6819870502,Train,-55717.68198705019
39,172966,116348.74595580425,Train,56617.25404419575
42,234067,99547.20410035674,Train,134519.79589964327
47,34099,70446.35103351458,Train,-36347.351033514584
55,53903,113057.20660388941,Train,-59154.20660388941
38,30392,66196.08919217458,Train,-35804.08919217458
47,38692,86193.29158049279,Train,-47501.29158049279
37,36263,45187.74689159788,Train,-8924.746891597882
38,169570,121764.99739672113,Train,47805.002603278874
31,40575,45333.46917815435,Train,-4758.4691781543515
36,63410,84954.27264583894,Train,-21544.272645838937
38,42035,120439.34302772445,Train,-78404.34302772445
40,27696,33019.08169016071,Train,-5323.08169016071
44,27080,39663.90463859885,Train,-12583.904638598848
39,44032,76058.86154107476,Train,-32026.86154107476
46,36767,47601.0510847456,Train,-10834.051084745603
29,278584,85327.81936768236,Train,193256.18063231764
23,18945,24962.52499714423,Train,-6017.524997144232
28,33989,25340.0202491121,Train,8648.979750887898
45,186721,118951.62292160376,Train,67769.37707839624
27,24277,10356.320459655726,Train,13920.679540344274
23,38116,34294.72134001782,Train,3821.2786599821775
37,31842,39546.77909304233,Train,-7704.779093042329
45,23131,79092.3310816579,Train,-55961.3310816579
52,42317,25350.219876161995,Train,16966.780123838005
49,44244,41902.22456625019,Train,2341.775433749812
39,42783,82637.07092494745,Train,-39854.070924947446
41,218413,142362.15238864772,Train,76050.84761135228
33,283566,127675.11997730582,Train,155890.88002269418
37,35114,65360.6444642891,Train,-30246.6444642891
44,27414,43505.35381537471,Train,-16091.353815374707
45,220728,122850.0259670619,Train,97877.9740329381
39,156354,77248.89245341904,Train,79105.10754658096
38,44312,80997.24484759811,Train,-36685.24484759811
22,30715,22701.749350155616,Train,8013.250649844384
52,48771,124612.08712914606,Train,-75841.08712914606
38,18291,46532.298251995926,Train,-28241.298251995926
49,43669,80957.85195518406,Train,-37288.85195518406
40,29819,85341.96752485671,Train,-55522.96752485671
45,292384,63955.70842924119,Train,228428.2915707588
52,18823,31269.27090367912,Train,-12446.27090367912
26,44832,70995.37586849241,Train,-26163.37586849241
75,43381,34143.731266285504,Train,9237.268733714496
26,35342,120755.5095393933,Train,-85413.5095393933
38,94788,45826.83037288452,Train,48961.16962711548
27,41374,94881.0420030725,Train,-53507.04200307251
48,142465,68721.89404542753,Train,73743.10595457247
73,38826,86449.41457634218,Train,-47623.414576342184
32,40213,74874.02004786898,Train,-34661.02004786898
39,149728,116168.34330340679,Train,33559.656696593214
25,34413,38332.44208194547,Train,-3919.442081945468
46,132652,140164.66628388548,Train,-7512.666283885483
30,21060,120393.74941131659,Train,-99333.74941131659
51,231243,119885.64866094064,Train,111357.35133905936
54,193084,138027.16061838611,Train,55056.839381613885
25,32145,36900.63909619795,Train,-4755.639096197949
47,29934,136201.13502480095,Train,-106267.13502480095
18,35999,60184.15737285991,Train,-24185.15737285991
49,20052,85658.91516411796,Train,-65606.91516411796
26,47563,73806.90243555029,Train,-26243.90243555029
45,49702,32161.89008216864,Train,17540.10991783136
36,39030,71784.248401452,Train,-32754.248401452
34,36465,31161.813905460593,Train,5303.186094539407
17,47965,29443.175919042165,Train,18521.824080957835
26,45591,33183.564214127124,Train,12407.435785872876
38,23580,75942.77288061866,Train,-52362.772880618664
19,29792,35104.76235867282,Train,-5312.762358672822
54,21187,120860.365621045,Train,-99673.365621045
56,231590,79884.55398362827,Train,151705.44601637172
25,98757,86850.55637764072,Train,11906.443622359278
38,30519,83291.2586696542,Train,-52772.2586696542
32,47493,82131.16388780157,Train,-34638.163887801566
49,171339,85658.91516411796,Train,85680.08483588204
47,150827,95227.77846157803,Train,55599.221538421974
18,27118,35408.32506043686,Train,-8290.325060436859
22,23579,28780.116686575122,Train,-5201.116686575122
22,27820,113784.51051208435,Train,-85964.51051208435
38,37760,73504.63566455683,Train,-35744.63566455683
63,49992,17285.242480116,Train,32706.757519884
32,33160,47540.515738970105,Train,-14380.515738970105
34,250751,101178.70621015795,Train,149572.29378984205
22,39594,7164.9376982723115,Train,32429.06230172769
62,41731,86361.82651182069,Train,-44630.82651182069
26,33861,67152.76052769847,Train,-33291.76052769847
32,45744,45463.54541924625,Train,280.45458075375063
56,40239,98945.77885463872,Train,-58706.77885463872
43,30191,120745.13840975714,Train,-90554.13840975714
52,49108,25955.491077879084,Train,23152.508922120916
21,37006,57846.64718957337,Train,-20840.64718957337
36,99221,86874.3495342247,Train,12346.650465775296
20,49602,43856.52722985125,Train,5745.47277014875
23,49152,17163.67194694966,Train,31988.32805305034
33,49549,88575.26647492062,Train,-39026.266474920616
30,47174,53200.74703608274,Train,-6026.747036082743
17,26314,35081.46709176208,Train,-8767.467091762082
47,45267,27921.80365346178,Train,17345.19634653822
46,268888,78377.4105114864,Train,190510.5894885136
41,43831,121296.95434584847,Train,-77465.95434584847
20,30220,25573.20181036991,Train,4646.798189630092
35,29977,34250.429128590564,Train,-4273.429128590564
40,46075,43660.95184670848,Train,2414.048153291522
35,40206,78300.27506419347,Train,-38094.27506419347
